No;name;inscrits;votants;nuls
1;Batha;347 806;271 795;1 679
2;Borkou;43 870;40 204;981
3;Chari-Baguirmi;462 174;362 150;3 200
4;Guéra;409 679;300 550;2 102
5;Hadjer-Lamis;428 283;321 944;2 609
6;Kanem;253 430;176 862;2 108
7;Lac;338 507;246 100;3 748
8;Logone Occidental;517 498;378 096;4 190
9;Logone Oriental;574 368;422 146;4 337
10;Mandoul;386 766;254 534;3 880
11;Mayo-Kebbi Est;543 690;368 962;2 993
12;Mayo-Kebbi Ouest ;408 910;290 047;200
13;Moyen-Chari ;416 652;309 055;6 799
14;Ouaddaï;588 692;372 450;7 626
15;Salamat;222 430;163 196;3 074
16;Tandjilé;437 870;349 849;2 280
17;Wadi Fira ;355 018;199 888;3 200
18;Ndjamena;1 083 926;750 615;7 114
19;Barh-El-Gazel ;212 870;158 201;678
20;Ennedi Ouest ;40 639;38 927;686
21;Sila;302 883;227 004;4 422
22;Tibesti;56 874;50 062;998
23;Ennedi Est ;67 869;62 337;1 028
24;Afrique ;53 482;32 005;196
25;Europe;1 493;906;13
26;Asie;4 936;3 707;202